"","SRR3216048","SRR3216049","SRR3216051","SRR3216052","SRR3216053","SRR3216054","SRR3216055","SRR3216056"
"KDM8",6.08831501209078,5.77114086318746,6.16244440794481,6.00766783453898,5.93756650257138,6.04372147828844,5.9955691766824,5.7360182272111
"KCTD18",8.12550878371163,8.04995856092807,8.06957678977251,8.07288433861275,7.55132131481232,7.9103214548163,7.96040802830224,8.04290025555824
"HYCC2",9.26566076898191,9.16741215173672,9.21877041969777,9.22312278015416,9.39320259509684,9.07281150492522,9.30486017438031,9.3542051179854
"FLACC1",5.96388209921474,6.16437225520837,6.28081788977327,5.9818595651521,6.09659451452038,6.56488363782038,6.41482014464141,5.83842893017149
"C2CD6",5.27142392347391,5.2286841700829,5.05986381980838,5.08000002189057,5.41305619519523,5.62316935362709,5.28558976552428,5.19580343254775
"TMEM237",7.72539162585669,8.23016242165033,7.88950827435847,7.93522851944716,7.52527414778377,7.74177113739705,7.94203630457795,7.88296455033768
"FZD7",6.20167134091983,6.18828330166078,5.64865132926025,5.38531018935387,6.71968260406864,6.44819719940333,6.61926145098069,5.86272588958047
"SPAG17",7.7072839293526,7.81482905497716,8.38848988522975,8.17207791814148,7.08704759888998,7.54267599722546,7.74931616720025,7.77528163411487
"DEPTOR",9.93955412746204,10.7958696390313,9.81461160420475,9.95020873134592,10.2574175064253,10.1706957616271,10.2620125830744,9.8735734209421
"FMN2",5.1871137687839,5.17234751230793,5.34734340532619,5.46936653042289,4.89350180041912,5.26847911243252,5.44999907652124,6.77290413591388
"RNF20",8.97339164741826,8.99530161621306,9.1136297897957,9.14410957962425,8.61660795582591,8.79121921900965,8.80479456438345,8.89930077142143
"PPARGC1B",7.38094815299968,7.46006804339676,7.29904254313652,7.85777500307832,7.08704759888998,7.31100960856588,7.01786505857374,7.67151549549746
"ELMO1",7.2613469437212,6.18828330166078,6.85994279338385,6.47415307966186,7.05070724420077,6.9026996106947,6.78647272560976,6.80846905890437
"SLC26A2",13.7152376863485,14.6414512000941,14.1568318768845,14.5146860644898,14.1362338452058,13.5471905512731,14.2377330756918,14.4947651915814
"LSM11",7.00656707151578,7.20388649461849,7.33099262726368,7.08344251046983,7.09895417420576,7.07835248352831,7.2985865270306,7.12144294939696
"MED7",7.57363579880014,7.48790889327013,7.4995479141892,7.60438847441646,7.46256994742387,7.7348731394638,7.48875976449619,7.4821521713147
"RRAGA",9.28399854496363,9.32368830981389,8.92275915469714,9.18415794663514,9.25059894486944,9.25168773431351,9.1854770417904,9.18157070448773
"PXYLP1",7.63245789164841,7.30155546784521,7.71588830586058,7.40020296567826,7.25582929768428,7.80239534036521,7.49510086048073,7.40788995417122
"RASA2",9.54106148996813,9.4055788727923,9.36844340639303,8.85416557239805,9.53595747254403,9.70905480067164,9.8338153811809,9.06422203008035
"RMND1",8.12550878371163,7.67692088264142,7.83148485051486,7.53953879370786,8.10117328106913,7.74177113739705,7.86609188525925,7.87200459782703
"SLA",8.06533728550197,7.12293327226064,7.30977318318033,7.0948578969148,7.66693192744595,7.40129343018419,7.49510086048073,8.05746934547293
"TMBIM4",9.52230813821099,9.65929258239357,9.3193845178454,9.58993986262587,9.72758218085669,9.6574032875091,9.66004128764933,9.58717357143972
"VBP1",8.7887056207889,8.59901900413736,7.93841413156601,8.21405134589011,8.71909060894392,8.68123587995823,8.50439951306057,8.61158815551824
"RAB39B",4.99065818620315,4.81689404173723,4.9121792095975,5.08000002189057,4.44626023015541,4.85868325378738,5.24923076950892,4.94023158595261
"CLIC2",7.84608609195608,6.97223469736477,7.59007302780987,7.34419965457114,7.44413273719876,7.38369234906744,7.7063475318669,7.57998732979006
"AFF2",6.21963371821652,6.06401769005733,5.79044458969271,6.54375530036609,6.09659451452038,5.22031365056152,5.69454554606272,6.83167920516658
"MICU3",7.79560538899411,7.14654332546973,7.51812083758945,6.84663583755186,7.24518659562001,7.42729103502336,7.23918945846981,7.61335648322121
"GRIP1",7.50528670781431,7.9405718838561,8.05698862738718,7.9477388085211,7.2663921525636,7.46958658652561,8.00533027580726,7.85540528703042
"VPS37A",9.60403030718579,9.62448583740351,9.07057491309568,9.8901716280364,9.61772929009331,9.62067158270091,9.6794968834727,9.94166115359559
"KIF5A",8.49855390167195,7.74754266379744,8.54516896053452,7.7546453455853,8.61660795582591,8.42374755463619,8.14830577749606,7.7811564380238
"PSD3",10.7274558059474,9.83969666745492,10.2761179081856,9.96560109890377,10.4516902883831,10.336123341282,10.6386382326935,10.0472376138395
"CARNMT1",8.93778716086055,8.75878860957242,8.40346124347749,8.69315490749408,8.97620986423364,8.96844679952277,8.73470766748568,8.85007862528142
"MCU",9.09381097563672,9.19838293802389,8.78870774640897,8.02649152774385,9.48322849121912,9.38253591108671,9.37644821460828,8.64405530793817
"MIDEAS",9.43567182664103,9.45769616135507,9.87659285767689,9.43928130346138,9.53595747254403,9.5791552605081,9.43159103846791,9.5171294740881
"CFAP70",7.82387043330394,7.9135701878382,8.52250073851878,8.07288433861275,7.2663921525636,7.74177113739705,7.97403351110687,8.01330934150702
"GNA14",6.71927002596877,5.86655585555689,6.38939014489833,6.08206635869322,6.67210415052154,6.37665639843279,5.71873809847927,6.40261323994247
"FAM161B",7.49826713841224,7.61946296924373,7.66688914880605,7.1722620671087,7.95336565057404,7.59702972671998,7.57505483478853,7.64596018794586
"GNAQ",10.639259332051,10.644734315631,10.5940660519608,11.0800121230329,10.4111155726301,10.4367263526812,10.6019775171858,10.8302295689265
"MMP16",8.6159407901867,7.66885333177437,9.84045679807494,8.31871889076213,8.44312293011625,8.26104084154071,8.19940975472786,8.30937059913866
"ADK",8.30024796131805,8.69699442165213,8.39349770763357,9.10847667295094,8.18635817278962,8.10442473866286,8.58041191769387,9.17935930487693
"KCNMA1",8.63513555780497,9.33386591757708,8.89481458292727,9.21798797051285,8.48849750838922,8.59664320602436,8.70785761146819,8.35719825286173
