"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"ZNF18",7.70604252149869,8.14369832069936,7.99591670105308,7.92869510724701,7.96766627187845,7.84775272942021
"VOPP1",9.02675239603892,9.28663544259226,8.77060433057385,8.87973536887454,9.18360479873695,8.93713117107228
"APOOL",9.00571616103312,9.33046657268489,9.35415293491883,8.96357384376848,9.4587367309226,9.01124712742236
"DKK2",6.16356081238133,7.01851237492466,6.27335911947663,6.52705110757604,6.86017175953268,6.98953740934117
"CYP2U1",7.39133191222212,7.48427572303707,7.69341037971854,7.65166014419716,7.18700426217678,7.71311804798929
"RSPH10B",6.27325126389919,6.47011907813843,6.95892139158061,6.8487096831475,6.78764176882749,6.9243508007334
"FBXL18",7.66945631703779,7.77695975504801,7.50833037313615,7.62892689296846,7.70000962870381,7.96425404768923
"PROM2",6.55719921987797,7.05582250270496,7.29205224975592,6.58530310930643,6.77252498362266,7.19784847797134
"AK9",7.74164466195011,8.43287213881903,8.26226352388299,8.24840129278733,7.96187395174893,8.16597929413861
"KLF10",9.68438437192883,9.56273422339363,9.26211364462868,9.56060888012494,8.74996825181926,9.66056130007445
"PTPRN2",6.30645686973155,6.15897157313626,6.35468395787874,6.21644732757431,6.58960209453588,6.4150720678559
"AZIN1",10.5517874217838,10.9372241627378,11.0487671563843,10.822643821406,11.2716794499935,11.147087762195
"ATP6V1C1",9.6996820575633,9.79084231116284,9.93990988526603,9.798195639486,9.69622097251759,9.88837877060328
"PIP4P2",6.84940943142395,6.6984975247035,6.70184945323402,6.89151683263452,7.04109217319452,6.81137595454636
"OTUD6B",8.41359827650363,8.6468309095201,8.72238697606036,8.49986438485666,8.67905452464145,8.48199941200902
"CDK19",9.03715502269853,10.286252716607,9.8326065399178,10.1704711414612,10.053371365185,9.823746785958
"GTF3C6",9.55093352014605,9.29131306023202,9.49550099092085,9.75873168312537,9.46672364091433,9.15636184373089
"TTC39B",9.04748216643534,8.68311448776754,9.07940677201288,9.17651582192734,8.98883687486321,8.66007455275321
"AGPAT5",11.2212748259948,10.5186093631095,10.4459030282195,11.3074049933602,10.7276154252029,9.53147463568788
"MMS19",9.11120356860513,8.87383022924305,9.12527408301286,9.0289229394854,8.99992525198622,8.88041434741551
"PI4K2A",8.0326491358682,8.44565494743851,8.45623526248511,8.30059598640225,8.14620619868726,8.50602955217851
"MARVELD1",8.83715688631488,8.55573591069423,8.57305626586015,8.48769964185835,8.66513371979046,8.8589336644974
"ZFYVE27",8.00404024884137,8.2501911770563,7.82998849996009,8.24355743273109,8.00753620978764,8.18611273677462
"GPR78",5.8589945250949,6.12596636409371,5.9487089665859,5.96964213222627,5.91735166358278,6.4150720678559
"TRMT44",8.89177367698859,9.05574826776952,8.70869604228077,8.95189569868496,8.93784014654602,8.32392576991044
"SLC25A28",8.37546909827466,8.09541311969349,8.29221364234573,8.56301947642738,8.57113308018938,8.39878228543019
"HSPA13",9.70402303489784,9.59897334639701,9.70846790417845,9.94895006140583,9.92183602059576,9.639241315316
"SAMSN1",6.73423329828875,6.64626509955458,7.26017593914763,6.39795965410231,6.78764176882749,6.81137595454636
"USP25",11.3421983584754,10.9947522946645,11.109843099296,11.3427897813235,11.3301082128656,10.5742193215662
"GRAMD2B",10.5517874217838,10.0481177676408,9.91056898339875,10.2002062217846,10.2334644062097,9.63386143077873
"ZCCHC10",8.36993600211757,7.77695975504801,8.27357071465646,8.07335517083198,8.17133997857416,7.93455521292918
"C16orf87",8.10165719554427,7.68398508904085,8.13137288063758,7.92257592396497,7.92062023366861,8.04964840899783
"MOV10",9.43024399028471,9.14385618423388,9.2732545556072,9.16898477231675,8.9349526065227,9.57705435729642
"RHOC",9.42235218632695,9.05299136260988,9.12937155526184,9.23056152154045,9.19568989170814,9.3746028010225
"DBI",8.53695742497741,8.47087545087437,8.82991645852577,8.21908061823355,8.32666390077441,8.64935719993499
"SLC16A1",10.4393331290857,10.8139750284998,10.8164114603207,10.2209028396523,10.8612117737353,11.1300372907834
"HEATR3",8.09491068679088,8.13311387202742,8.30328042090097,8.26283209584586,8.58600964471158,8.42005550100726
"NIFK",8.74258969547606,8.56355657644159,9.16373267980301,8.8766475857387,8.69968154875329,8.46982801656134
"OXA1L",9.26348959657242,8.86440790731784,9.15973290394093,9.03446610115838,9.08565241378767,9.09746513059737
"SLC7A7",6.69283607919653,6.0148886067028,6.58998970166357,6.05105164935288,6.53316057259441,6.45885359625319
"LARP1",11.660058069951,11.506201627441,11.7188475364942,11.6557690890371,11.7158578988416,11.6323652967703
"CNOT8",9.820527901018,10.0604626975494,9.89507160398858,10.2789443723981,9.99807316530322,9.83940120808772
"GRIA1",8.17376259826006,8.21559755573379,7.49500155549525,8.00005051825284,8.3222038845841,7.92249109473859
"LRGUK",7.57327123928614,7.04351857260351,7.77702440728718,7.74587950703738,7.72793696473109,7.28984388665897
"SETD9",6.84940943142395,6.8986661144675,6.54447608749223,6.60395109507912,6.62545561477023,6.59720605649815
"MIER3",9.69314586781622,9.59708869147676,9.76861010782169,9.78679694246259,9.78503164912161,9.87932177198967
